scrape_timestamp,keyword,listing_id,title,price_amount,price_currency,num_favorers,views,shop_id,tags,url,review_count,avg_review_rating,latest_review_date,shop_name,shop_total_sales,shop_review_average,shop_review_count,shop_favorers,shop_active_listings
2026-09-05_17-14-48,personalized football gift,4569623014,"Personalized Tampa Bay Football T-Shirt, Custom Name & Number Game Day Jersey, Football Fan Gift",20.6,EUR,0,0,67818990,,https://www.etsy.com/listing/4569623014/personalized-tampa-bay-football-t-shirt,0,0,0,KNLBV,0,0,0,0,11
2026-09-05_17-14-48,personalized football gift,4479828063,Football Personalized Keychain / Keyring / Bag Tag / Name Tag - 3D Printed Plastic / Flag Football / Start End of Season Gift / Team Gift,3.45,USD,129,2948,62897228,Football|Bag Tag|End of Season|Basketball|Soccer|Custom Name|Personalized Name|Key Chain|football keychain|football name tag|football mom|personalized keyring|football team gifts,https://www.etsy.com/listing/4479828063/football-personalized-keychain-keyring,37,5.0,1788112418,3DYaYaLayers,3716,4.96,639,551,34
2026-09-05_17-14-48,personalized football gift,1871969812,"Baseball, Football, Basketball Sports Pacifier Clip • Personalize with Baby Boy or Girl Name • Custom Sports Mom Gift for Newborn",16.99,USD,257,5132,17957544,baby boy gift|new mom gift|silicone baby|custom baby gift|personalized baby|baseball|basketball|football|soccer|boy mom|baby gifts|gift newborn|new dad gift,https://www.etsy.com/listing/1871969812/baseball-football-basketball-sports,19,5.0,1787149132,knotified,7137,4.98,1964,1401,324
2026-09-05_17-14-48,personalized football gift,1467624673,Personalised Name Sign - Door Sign - Name sign - Any Colour - Any Name - Name Plaque - 3d Printed - custom name sign - bedroom door sign,6.99,GBP,1124,62533,35508264,door sign|door plaque|name sign|name plaque|personalised sign|personalised gift|3d printed|keyring|football|multicolour|decorating|cheap gift|custom name sign,https://www.etsy.com/listing/1467624673/personalised-name-sign-door-sign-name,103,5.0,1788587021,3dprintsac,14401,4.89,1948,555,30
2026-09-05_17-14-48,personalized football gift,4507052208,"Personalisierte Schokolinsen Fußball Motive | Fußballparty Süßigkeiten | Schokolinsen mit Tor, Pokal, Pfeife & Trikot | Kindergeburtstag WM",7.99,EUR,45,638,39326016,schokolinsen|fußball party|kindergeburtstag|gastgeschenk|fußball süßigkeiten|fußball motive|party mitgebsel|fußball geburtstag|süßigkeiten party|fußball wm|fußball wm süßigkeiten|wm party|turnier snack,https://www.etsy.com/listing/4507052208/personalisierte-schokolinsen-fussball,0,0,0,SalonBuck,1117,4.85,148,247,36
2026-09-05_17-14-48,personalized football gift,4490670968,"Custom Mascot Shirt, Retro School Spirit Tee, Personalized Team Name Gift",16.65,USD,0,59,44108895,back to school shirt|school mascot shirt|cheer mascot shirt|school spirit shirt|team mascot shirt|high school team|pennat color shirt|football mom shirt|fall football shirt|custom team shirt|custom school name|cheer mom shirt|sports mom shirt,https://www.etsy.com/listing/4490670968/custom-mascot-shirt-retro-school-spirit,0,0,0,RedBubbleApparel,28157,4.82,5182,1210,1576
2026-09-05_17-14-48,personalized football gift,4533243006,"Personalized House Divided Garden Flag, Custom Sports Team Yard Flag, Football Game Day Porch Decor, Family Rivalry Outdoor Flag, Team Gift",16.35,USD,66,1955,64393137,house divided|garden flag|custom yard flag|sports flag|team flag|rivalry flag|football decor|game day decor|tailgate flag|family rivalry|custom colors|outdoor flag|porch flag,https://www.etsy.com/listing/4533243006/personalized-house-divided-garden-flag,17,4.9,1788310674,LumiNestGifts,294,4.74,46,101,154
2026-09-05_17-14-48,personalized football gift,4561992301,"Custom Cleveland Browns Dog Bandana - Over Collar, Personalized Name Option, XS-XL, Cotton/Poly Blend",10.0,USD,1,16,20827568,gift for dog|dog clothes|dog accessories|pet bandana|gift for dog owner|Over The Collar|Football dog bandana|Browns|Cleveland Browns|Gift for Browns fan|Browns dog bandana|Name dog bandana|personalize,https://www.etsy.com/listing/4561992301/custom-cleveland-browns-dog-bandana-over,0,0,0,MykaMayPetBoutique,1087,4.9,169,144,193
2026-09-05_17-14-48,personalized football gift,4365627175,Custom Baseball Name Sticker: Waterproof Vinyl Label,1.96,USD,367,10733,58102944,waterproof sticker|personalized sticker|name sticker|customized sticker|water bottle sticker|name labels|sports team stickers|sports name stickers|sport number sticker|football sticker|team number sticker|sports team sticker|laptop stickers,https://www.etsy.com/listing/4365627175/custom-baseball-name-sticker-waterproof,52,4.9,1788307238,HomeGiftsTX,29182,4.89,3570,2942,208
2026-09-05_17-14-48,personalized football gift,1867346845,"Personalized Football Wall Art, Soccer Prints, Custom Soccer Poster, Soccer Gift for Boys Bedroom Soccer Decor Kids Room Decor Soccer Jersey",6.45,GBP,565,17508,36622058,personalised prints|soccer prints|soccer wall art|soccer posters|soccer gifts|soccer bedroom art|football gifts|personalized art|custom soccer|soccer art|custom football|boys wall art|gift for boys,https://www.etsy.com/listing/1867346845/personalized-football-wall-art-soccer,26,5.0,1787944812,DecorByReece,26482,4.92,2628,1739,850
2026-09-05_17-14-48,personalized football gift,4569607151,"Personalized Buffalo Football T-Shirt, Custom Name & Number Game Day Jersey, Football Fan Gift",20.6,EUR,0,0,67818990,,https://www.etsy.com/listing/4569607151/personalized-buffalo-football-t-shirt,0,0,0,KNLBV,0,0,0,0,11
2026-09-05_17-14-48,personalized football gift,4561207482,"Personalized Senior Football Mom Shirt, Comfort Colors Senior Night Tee, The Final Quarter Shirt, Custom Player Photo Football Mom Gift",10.3,USD,15,227,56108290,comfort colors tee|game day tee|football fan tee|football mama tee|senior mom tee|gift for mom|football mom|custom photo shirt|senior mom shirt|football mom shirt|school mascot shirt|senior mom 2026|senior football gift,https://www.etsy.com/listing/4561207482/personalized-senior-football-mom-shirt,0,0,0,HarmonyMine,11630,4.84,967,726,921
2026-09-05_17-14-48,personalized football gift,4342217870,"Personalized College Football Cups, Styrofoam, Roadie, Tailgate, Texas Tailgate, Guns Up, Texas, Wreck Em, Guns Up, Raiders, Tailgating",79.0,USD,3,49,13851571,tailgate|texas football|Texas longhorns|football cups|horns|frog water|Texas Tech|Wreck Em|Guns Up|Whoop|Gig Em|Aggies|Texas,https://www.etsy.com/listing/4342217870/personalized-college-football-cups,0,0,0,EloquenceInk,27206,4.97,4568,3196,744
